GPS time,X,Y,Z,Lat,Lon
,2938711.637,2229644.105,5186003.910,54.75726599,37.18812991
2223:048935.200,2938711.638,2229644.104,5186003.908,54.75726599,37.18812992
2223:048935.400,2938711.638,2229644.104,5186003.908,54.75726599,37.18812990
2223:048935.600,2938711.637,2229644.104,5186003.909,54.75726598,37.18812990
2223:048935.800,2938711.638,2229644.103,5186003.909,54.75726599,37.18812991
2223:048936.000,2938711.638,2229644.102,5186003.909,54.75726599,37.18812988
2223:048936.200,2938711.638,2229644.101,5186003.908,54.75726599,37.18812988
2223:048936.400,2938711.639,2229644.103,5186003.909,54.75726599,37.18812987
2223:048936.600,2938711.642,2229644.106,5186003.908,54.75726598,37.18812987
2223:048936.800,2938711.641,2229644.106,5186003.908,54.75726595,37.18812989
2223:048937.000,2938711.643,2229644.109,5186003.907,54.75726595,37.18812990
2223:048937.200,2938711.642,2229644.105,5186003.905,54.75726592,37.18812992
2223:048937.400,2938711.639,2229644.102,5186003.902,54.75726593,37.18812988
2223:048937.600,2938711.640,2229644.100,5186003.900,54.75726595,37.18812987
2223:048937.800,2938711.639,2229644.101,5186003.899,54.75726594,37.18812984
2223:048938.000,2938711.636,2229644.099,5186003.898,54.75726594,37.18812985
2223:048938.200,2938711.636,2229644.098,5186003.899,54.75726596,37.18812986
2223:048938.400,2938711.637,2229644.096,5186003.897,54.75726597,37.18812984
2223:048938.600,2938711.634,2229644.093,5186003.895,54.75726597,37.18812982
2223:048938.800,2938711.633,2229644.090,5186003.890,54.75726598,37.18812980
2223:048939.000,2938711.635,2229644.094,5186003.895,54.75726597,37.18812978
2223:048939.200,2938711.634,2229644.097,5186003.898,54.75726597,37.18812981
2223:048939.400,2938711.635,2229644.098,5186003.905,54.75726598,37.18812985
2223:048939.600,2938711.637,2229644.100,5186003.906,54.75726601,37.18812985
2223:048939.800,2938711.638,2229644.101,5186003.906,54.75726599,37.18812986
2223:048940.000,2938711.637,2229644.119,5186003.914,54.75726598,37.18812987
2223:048940.200,2938711.641,2229644.113,5186003.906,54.75726595,37.18813009
2223:048940.400,2938711.645,2229644.112,5186003.906,54.75726591,37.18812998
2223:048940.600,2938711.659,2229644.106,5186003.897,54.75726589,37.18812995
2223:048940.800,2938711.668,2229644.106,5186003.891,54.75726579,37.18812973
2223:048941.000,2938711.671,2229644.103,5186003.886,54.75726570,37.18812964
2223:048941.200,2938711.699,2229644.110,5186003.873,54.75726568,37.18812957
2223:048941.400,2938711.725,2229644.132,5186003.852,54.75726541,37.18812940
2223:048941.600,2938711.786,2229644.164,5186003.814,54.75726506,37.18812943
2223:048941.800,2938711.833,2229644.182,5186003.772,54.75726436,37.18812926
2223:048942.000,2938711.876,2229644.194,5186003.742,54.75726378,37.18812904
2223:048942.200,2938711.877,2229644.195,5186003.736,54.75726333,37.18812878
2223:048942.400,2938711.888,2229644.192,5186003.732,54.75726329,37.18812879
2223:048942.600,2938711.904,2229644.196,5186003.723,54.75726321,37.18812865
2223:048942.800,2938711.950,2229644.202,5186003.701,54.75726306,37.18812854
2223:048943.000,2938711.964,2229644.212,5186003.698,54.75726265,37.18812819
2223:048943.200,2938711.996,2229644.226,5186003.680,54.75726250,37.18812818
2223:048943.400,2938712.023,2229644.235,5186003.664,54.75726217,37.18812805
2223:048943.600,2938712.047,2229644.252,5186003.641,54.75726188,37.18812791
2223:048943.800,2938712.094,2229644.277,5186003.601,54.75726155,37.18812790
2223:048944.000,2938712.108,2229644.280,5186003.587,54.75726095,37.18812776
2223:048944.200,2938712.134,2229644.296,5186003.564,54.75726078,37.18812767
2223:048944.400,2938712.150,2229644.296,5186003.573,54.75726045,37.18812762
2223:048944.600,2938712.177,2229644.306,5186003.556,54.75726040,37.18812747
2223:048944.800,2938712.252,2229644.327,5186003.519,54.75726011,37.18812733
2223:048945.000,2938712.300,2229644.332,5186003.498,54.75725938,37.18812689
2223:048945.200,2938712.321,2229644.335,5186003.477,54.75725897,37.18812650
2223:048945.400,2938712.340,2229644.342,5186003.465,54.75725873,37.18812634
2223:048945.600,2938712.351,2229644.336,5186003.458,54.75725852,37.18812626
2223:048945.800,2938712.419,2229644.350,5186003.437,54.75725845,37.18812608
2223:048946.000,2938712.481,2229644.358,5186003.397,54.75725788,37.18812562
2223:048946.200,2938712.534,2229644.369,5186003.363,54.75725728,37.18812513
2223:048946.400,2938712.557,2229644.371,5186003.341,54.75725674,37.18812476
2223:048946.600,2938712.580,2229644.373,5186003.328,54.75725648,37.18812458
2223:048946.800,2938712.589,2229644.373,5186003.326,54.75725627,37.18812438
2223:048947.000,2938712.657,2229644.364,5186003.301,54.75725622,37.18812430
2223:048947.200,2938712.715,2229644.358,5186003.268,54.75725572,37.18812355
2223:048947.400,2938712.766,2229644.359,5186003.243,54.75725524,37.18812293
2223:048947.600,2938712.801,2229644.359,5186003.212,54.75725481,37.18812248
2223:048947.800,2938712.844,2229644.347,5186003.195,54.75725444,37.18812215
2223:048948.000,2938712.850,2229644.350,5186003.182,54.75725416,37.18812159
2223:048948.200,2938712.891,2229644.344,5186003.169,54.75725404,37.18812157
2223:048948.400,2938712.933,2229644.335,5186003.150,54.75725376,37.18812110
2223:048948.600,2938712.974,2229644.321,5186003.131,54.75725346,37.18812061
2223:048948.800,2938713.002,2229644.311,5186003.112,54.75725318,37.18812004
2223:048949.000,2938713.023,2229644.311,5186003.096,54.75725296,37.18811966
2223:048949.200,2938713.053,2229644.304,5186003.077,54.75725276,37.18811945
2223:048949.400,2938713.119,2229644.279,5186003.050,54.75725251,37.18811909
2223:048949.600,2938713.152,2229644.291,5186003.032,54.75725210,37.18811817
2223:048949.800,2938713.203,2229644.273,5186003.010,54.75725176,37.18811799
2223:048950.000,2938713.235,2229644.281,5186002.994,54.75725143,37.18811729
