GPS time,X,Y,Z,Lat,Lon
,2938716.000,2229641.598,5186002.929,54.75724651,37.18805795
2223:048611.600,2938716.001,2229641.600,5186002.930,54.75724652,37.18805794
2223:048611.800,2938716.000,2229641.600,5186002.930,54.75724651,37.18805796
2223:048612.000,2938715.999,2229641.599,5186002.929,54.75724652,37.18805796
2223:048612.200,2938715.998,2229641.600,5186002.928,54.75724653,37.18805796
2223:048612.400,2938715.999,2229641.600,5186002.929,54.75724652,37.18805798
2223:048612.600,2938715.999,2229641.600,5186002.928,54.75724652,37.18805798
2223:048612.800,2938715.998,2229641.602,5186002.928,54.75724651,37.18805798
2223:048613.000,2938715.997,2229641.599,5186002.928,54.75724651,37.18805800
2223:048613.200,2938715.999,2229641.602,5186002.926,54.75724652,37.18805798
2223:048613.400,2938715.999,2229641.599,5186002.924,54.75724649,37.18805800
2223:048613.600,2938715.999,2229641.600,5186002.924,54.75724650,37.18805797
2223:048613.800,2938715.999,2229641.600,5186002.924,54.75724650,37.18805797
2223:048614.000,2938715.999,2229641.600,5186002.925,54.75724649,37.18805797
2223:048614.200,2938715.999,2229641.599,5186002.921,54.75724650,37.18805798
2223:048614.400,2938715.998,2229641.598,5186002.920,54.75724648,37.18805797
2223:048614.600,2938715.999,2229641.598,5186002.919,54.75724648,37.18805796
2223:048614.800,2938715.999,2229641.601,5186002.920,54.75724647,37.18805795
2223:048615.000,2938715.999,2229641.598,5186002.919,54.75724647,37.18805798
2223:048615.200,2938715.999,2229641.598,5186002.920,54.75724648,37.18805794
2223:048615.400,2938716.000,2229641.598,5186002.921,54.75724648,37.18805795
2223:048615.600,2938716.002,2229641.601,5186002.921,54.75724648,37.18805794
2223:048615.800,2938716.002,2229641.602,5186002.921,54.75724646,37.18805796
2223:048616.000,2938716.002,2229641.602,5186002.921,54.75724645,37.18805796
2223:048616.200,2938716.003,2229641.603,5186002.922,54.75724645,37.18805798
2223:048616.400,2938716.002,2229641.602,5186002.922,54.75724645,37.18805797
2223:048616.600,2938716.002,2229641.601,5186002.921,54.75724645,37.18805798
2223:048616.800,2938716.001,2229641.600,5186002.919,54.75724645,37.18805796
