GPS time,X,Y,Z,Lat,Lon
,2938711.525,2229644.223,5186003.790,54.75726550,37.18813242
2223:048746.200,2938711.527,2229644.223,5186003.791,54.75726550,37.18813243
2223:048746.400,2938711.527,2229644.224,5186003.790,54.75726549,37.18813242
2223:048746.600,2938711.527,2229644.223,5186003.790,54.75726548,37.18813243
2223:048746.800,2938711.525,2229644.221,5186003.791,54.75726549,37.18813241
2223:048747.000,2938711.528,2229644.224,5186003.792,54.75726551,37.18813241
2223:048747.200,2938711.527,2229644.224,5186003.791,54.75726549,37.18813242
2223:048747.400,2938711.526,2229644.224,5186003.791,54.75726548,37.18813243
2223:048747.600,2938711.524,2229644.222,5186003.790,54.75726549,37.18813244
2223:048747.800,2938711.523,2229644.221,5186003.788,54.75726551,37.18813243
2223:048748.000,2938711.523,2229644.221,5186003.790,54.75726551,37.18813243
2223:048748.200,2938711.527,2229644.222,5186003.794,54.75726552,37.18813243
2223:048748.400,2938711.528,2229644.224,5186003.797,54.75726551,37.18813241
2223:048748.600,2938711.528,2229644.224,5186003.799,54.75726552,37.18813241
2223:048748.800,2938711.530,2229644.225,5186003.799,54.75726553,37.18813241
2223:048749.000,2938711.529,2229644.223,5186003.797,54.75726551,37.18813242
2223:048749.200,2938711.528,2229644.222,5186003.796,54.75726551,37.18813240
2223:048749.400,2938711.528,2229644.220,5186003.793,54.75726552,37.18813239
2223:048749.600,2938711.528,2229644.220,5186003.792,54.75726551,37.18813237
2223:048749.800,2938711.529,2229644.221,5186003.793,54.75726550,37.18813236
2223:048750.000,2938711.529,2229644.220,5186003.794,54.75726550,37.18813237
2223:048750.200,2938711.528,2229644.219,5186003.791,54.75726551,37.18813236
2223:048750.400,2938711.528,2229644.221,5186003.792,54.75726551,37.18813236
2223:048750.600,2938711.528,2229644.220,5186003.790,54.75726550,37.18813238
2223:048750.800,2938711.527,2229644.220,5186003.790,54.75726550,37.18813237
2223:048751.000,2938711.525,2229644.220,5186003.790,54.75726550,37.18813238
2223:048751.200,2938711.528,2229644.222,5186003.792,54.75726551,37.18813239
2223:048751.400,2938711.528,2229644.222,5186003.793,54.75726550,37.18813239
2223:048751.600,2938711.529,2229644.224,5186003.794,54.75726550,37.18813240
2223:048751.800,2938711.528,2229644.223,5186003.793,54.75726549,37.18813241
2223:048752.000,2938711.529,2229644.224,5186003.793,54.75726549,37.18813241
2223:048752.200,2938711.529,2229644.223,5186003.792,54.75726549,37.18813241
2223:048752.400,2938711.528,2229644.222,5186003.792,54.75726549,37.18813239
2223:048752.600,2938711.528,2229644.223,5186003.793,54.75726549,37.18813240
2223:048752.800,2938711.527,2229644.222,5186003.792,54.75726550,37.18813241
2223:048753.000,2938711.528,2229644.222,5186003.793,54.75726550,37.18813240
2223:048753.200,2938711.529,2229644.223,5186003.793,54.75726550,37.18813240
2223:048753.400,2938711.527,2229644.223,5186003.792,54.75726550,37.18813241
2223:048753.600,2938711.526,2229644.222,5186003.791,54.75726549,37.18813242
2223:048753.800,2938711.525,2229644.220,5186003.791,54.75726550,37.18813241
2223:048754.000,2938711.525,2229644.222,5186003.789,54.75726551,37.18813240
2223:048754.200,2938711.525,2229644.219,5186003.790,54.75726550,37.18813242
2223:048754.400,2938711.527,2229644.222,5186003.793,54.75726551,37.18813239
2223:048754.600,2938711.528,2229644.222,5186003.796,54.75726551,37.18813240
2223:048754.800,2938711.529,2229644.223,5186003.796,54.75726551,37.18813239
2223:048755.000,2938711.529,2229644.224,5186003.797,54.75726551,37.18813240
2223:048755.200,2938711.529,2229644.225,5186003.797,54.75726551,37.18813241
2223:048755.400,2938711.529,2229644.227,5186003.796,54.75726551,37.18813242
2223:048755.600,2938711.527,2229644.225,5186003.796,54.75726549,37.18813245
2223:048755.800,2938711.525,2229644.221,5186003.793,54.75726551,37.18813243
2223:048756.000,2938711.522,2229644.217,5186003.794,54.75726552,37.18813241
2223:048756.200,2938711.521,2229644.213,5186003.793,54.75726557,37.18813239
2223:048756.400,2938711.521,2229644.211,5186003.792,54.75726558,37.18813234
2223:048756.600,2938711.520,2229644.214,5186003.793,54.75726559,37.18813232
2223:048756.800,2938711.522,2229644.215,5186003.791,54.75726559,37.18813236
2223:048757.000,2938711.522,2229644.216,5186003.796,54.75726556,37.18813236
2223:048757.200,2938711.525,2229644.221,5186003.796,54.75726558,37.18813238
2223:048757.400,2938711.526,2229644.222,5186003.795,54.75726554,37.18813240
2223:048757.600,2938711.524,2229644.226,5186003.796,54.75726552,37.18813241
2223:048757.800,2938711.525,2229644.227,5186003.800,54.75726553,37.18813247
2223:048758.000,2938711.525,2229644.224,5186003.796,54.75726553,37.18813248
2223:048758.200,2938711.522,2229644.223,5186003.792,54.75726552,37.18813245
2223:048758.400,2938711.522,2229644.220,5186003.790,54.75726553,37.18813246
2223:048758.600,2938711.521,2229644.220,5186003.790,54.75726553,37.18813242
2223:048758.800,2938711.519,2229644.221,5186003.793,54.75726554,37.18813244
2223:048759.000,2938711.521,2229644.223,5186003.792,54.75726556,37.18813247
2223:048759.200,2938711.522,2229644.224,5186003.793,54.75726553,37.18813246
2223:048759.400,2938711.523,2229644.225,5186003.795,54.75726553,37.18813247
2223:048759.600,2938711.523,2229644.226,5186003.794,54.75726552,37.18813248
2223:048759.800,2938711.524,2229644.229,5186003.798,54.75726552,37.18813249
2223:048760.000,2938711.524,2229644.230,5186003.798,54.75726552,37.18813253
2223:048760.200,2938711.524,2229644.234,5186003.803,54.75726552,37.18813253
2223:048760.400,2938711.525,2229644.238,5186003.807,54.75726552,37.18813258
2223:048760.600,2938711.524,2229644.241,5186003.819,54.75726552,37.18813262
2223:048760.800,2938711.521,2229644.239,5186003.831,54.75726558,37.18813266
2223:048761.000,2938711.518,2229644.231,5186003.836,54.75726567,37.18813267
2223:048761.200,2938711.517,2229644.226,5186003.841,54.75726574,37.18813259
2223:048761.400,2938711.518,2229644.226,5186003.842,54.75726579,37.18813255
2223:048761.600,2938711.527,2229644.229,5186003.836,54.75726580,37.18813253
2223:048761.800,2938711.555,2229644.243,5186003.826,54.75726570,37.18813249
2223:048762.000,2938711.588,2229644.252,5186003.812,54.75726542,37.18813239
2223:048762.200,2938711.608,2229644.263,5186003.807,54.75726512,37.18813220
2223:048762.400,2938711.629,2229644.273,5186003.799,54.75726493,37.18813214
2223:048762.600,2938711.660,2229644.291,5186003.785,54.75726472,37.18813208
2223:048762.800,2938711.689,2229644.299,5186003.762,54.75726439,37.18813201
2223:048763.000,2938711.722,2229644.310,5186003.733,54.75726406,37.18813184
2223:048763.200,2938711.758,2229644.329,5186003.704,54.75726367,37.18813167
2223:048763.400,2938711.798,2229644.331,5186003.673,54.75726323,37.18813156
2223:048763.600,2938711.833,2229644.340,5186003.645,54.75726282,37.18813121
2223:048763.800,2938711.860,2229644.347,5186003.618,54.75726243,37.18813099
2223:048764.000,2938711.899,2229644.366,5186003.597,54.75726210,37.18813082
2223:048764.200,2938711.937,2229644.376,5186003.569,54.75726168,37.18813069
2223:048764.400,2938711.962,2229644.376,5186003.550,54.75726127,37.18813047
2223:048764.600,2938711.989,2229644.396,5186003.528,54.75726102,37.18813023
2223:048764.800,2938712.014,2229644.392,5186003.515,54.75726066,37.18813022
2223:048765.000,2938712.045,2229644.401,5186003.497,54.75726047,37.18812994
2223:048765.200,2938712.077,2229644.415,5186003.467,54.75726015,37.18812975
2223:048765.400,2938712.115,2229644.425,5186003.447,54.75725975,37.18812963
2223:048765.600,2938712.139,2229644.425,5186003.439,54.75725938,37.18812940
2223:048765.800,2938712.167,2229644.431,5186003.424,54.75725919,37.18812918
2223:048766.000,2938712.200,2229644.448,5186003.405,54.75725893,37.18812899
2223:048766.200,2938712.219,2229644.459,5186003.395,54.75725856,37.18812888
2223:048766.400,2938712.240,2229644.466,5186003.393,54.75725835,37.18812884
2223:048766.600,2938712.277,2229644.476,5186003.367,54.75725818,37.18812873
2223:048766.800,2938712.311,2229644.489,5186003.352,54.75725779,37.18812851
2223:048767.000,2938712.354,2229644.497,5186003.327,54.75725746,37.18812835
2223:048767.200,2938712.406,2229644.510,5186003.288,54.75725704,37.18812805
2223:048767.400,2938712.449,2229644.514,5186003.257,54.75725648,37.18812771
2223:048767.600,2938712.486,2229644.528,5186003.237,54.75725605,37.18812736
2223:048767.800,2938712.515,2229644.538,5186003.217,54.75725567,37.18812719
2223:048768.000,2938712.558,2229644.548,5186003.189,54.75725535,37.18812705
2223:048768.200,2938712.609,2229644.558,5186003.160,54.75725491,37.18812676
2223:048768.400,2938712.655,2229644.562,5186003.133,54.75725441,37.18812640
2223:048768.600,2938712.689,2229644.555,5186003.102,54.75725398,37.18812601
2223:048768.800,2938712.727,2229644.553,5186003.067,54.75725366,37.18812561
2223:048769.000,2938712.724,2229644.549,5186003.056,54.75725326,37.18812523
2223:048769.200,2938712.724,2229644.546,5186003.053,54.75725324,37.18812521
2223:048769.400,2938712.711,2229644.537,5186003.069,54.75725324,37.18812518
2223:048769.600,2938712.703,2229644.519,5186003.086,54.75725344,37.18812519
2223:048769.800,2938712.687,2229644.505,5186003.108,54.75725365,37.18812505
2223:048770.000,2938712.687,2229644.472,5186003.112,54.75725392,37.18812501
2223:048770.200,2938712.679,2229644.474,5186003.113,54.75725409,37.18812461
2223:048770.400,2938712.677,2229644.475,5186003.110,54.75725413,37.18812471
2223:048770.600,2938712.677,2229644.470,5186003.114,54.75725412,37.18812473
2223:048770.800,2938712.674,2229644.466,5186003.117,54.75725416,37.18812467
2223:048771.000,2938712.669,2229644.453,5186003.130,54.75725422,37.18812466
2223:048771.200,2938712.652,2229644.424,5186003.154,54.75725437,37.18812454
2223:048771.400,2938712.639,2229644.406,5186003.167,54.75725472,37.18812434
2223:048771.600,2938712.630,2229644.370,5186003.186,54.75725495,37.18812425
2223:048771.800,2938712.614,2229644.344,5186003.213,54.75725526,37.18812388
2223:048772.000,2938712.608,2229644.335,5186003.226,54.75725560,37.18812371
2223:048772.200,2938712.584,2229644.306,5186003.256,54.75725575,37.18812365
2223:048772.400,2938712.578,2229644.288,5186003.265,54.75725618,37.18812352
2223:048772.600,2938712.551,2229644.249,5186003.302,54.75725634,37.18812336
2223:048772.800,2938712.524,2229644.211,5186003.332,54.75725686,37.18812313
2223:048773.000,2938712.499,2229644.176,5186003.363,54.75725734,37.18812291
2223:048773.200,2938712.497,2229644.149,5186003.367,54.75725780,37.18812271
2223:048773.400,2938712.493,2229644.150,5186003.367,54.75725795,37.18812240
2223:048773.600,2938712.495,2229644.149,5186003.366,54.75725797,37.18812244
