iter	Logloss
0	0.4423475945
1	0.3564806227
2	0.3210543054
3	0.3057881745
4	0.2993846805
5	0.296320992
6	0.2949204794
7	0.2939391572
8	0.2933334334
9	0.2928396747
10	0.2925630103
11	0.2921793992
12	0.2917312648
13	0.2915207934
14	0.2912667658
15	0.2911114156
16	0.2908498615
17	0.2905091453
18	0.2902905558
19	0.2901589385
20	0.2899756292
21	0.2898317203
22	0.2897282522
23	0.2894922467
24	0.2893818009
25	0.2892591366
26	0.2891602124
27	0.2887924037
28	0.2886841153
29	0.2886106905
30	0.2884869356
31	0.2884342063
32	0.288304835
33	0.2881947717
34	0.2880348853
35	0.2879370114
36	0.287862995
37	0.2877585449
38	0.2876256011
39	0.2875636067
40	0.2875034658
41	0.2874173607
42	0.2872794815
43	0.2871797721
44	0.287122064
45	0.2870481149
46	0.2869480284
47	0.2869039541
48	0.2868203185
49	0.2867338529
50	0.2866186743
51	0.2865399665
52	0.2865036557
53	0.2864384318
54	0.2863380467
55	0.2862708393
56	0.2861946224
57	0.2861276517
58	0.2860978545
59	0.2860649684
60	0.2860096014
61	0.2859311956
62	0.285880203
63	0.2858339865
64	0.2857965403
65	0.285774179
66	0.2857108209
67	0.2855840009
68	0.2854974176
69	0.2854392411
70	0.2853435048
71	0.2853058243
72	0.2852565076
73	0.2851903034
74	0.2851219424
75	0.2850294469
76	0.2849648079
77	0.2849219445
78	0.2848615712
79	0.2848297928
80	0.2848051548
81	0.2847912902
82	0.2847141323
83	0.2846813025
84	0.2846194363
85	0.2845819362
86	0.2845437548
87	0.2844988492
88	0.2844719332
89	0.2844053448
90	0.2843708508
91	0.2843345601
92	0.2842809879
93	0.2842330278
94	0.2841920706
95	0.2840332795
96	0.2840001413
97	0.2839605574
98	0.2839017957
99	0.2838608144
