iter	Passed	Remaining
0	679	67310
1	1469	71995
2	2218	71734
3	2934	70438
4	3600	68401
5	4208	65935
6	4834	64235
7	5460	62791
8	5981	60484
9	6692	60231
10	7243	58603
11	7763	56934
12	8282	55427
13	8802	54075
14	9369	53096
15	9930	52134
16	10492	51226
17	11073	50445
18	11641	49629
19	12152	48608
20	12821	48232
21	13431	47621
22	13945	46688
23	14620	46299
24	15545	46636
25	16346	46524
26	17095	46220
27	17732	45597
28	18335	44890
29	18865	44018
30	19399	43178
31	19951	42396
32	20864	42361
33	21549	41830
34	22296	41408
35	22943	40787
36	23516	40041
37	24034	39214
38	24679	38601
39	25272	37908
40	25915	37292
41	26491	36583
42	27187	36039
43	27836	35428
44	28428	34745
45	28995	34037
46	29566	33340
47	30064	32569
48	30791	32048
49	31543	31543
50	32185	30923
51	32747	30228
52	33241	29478
53	33758	28756
54	34280	28047
55	34857	27387
56	35426	26725
57	35973	26050
58	36480	25351
59	36975	24650
60	37500	23975
61	38031	23309
62	38556	22644
63	39108	21998
64	39611	21329
65	40092	20653
66	40649	20021
67	41212	19394
68	41772	18767
69	42343	18147
70	42917	17529
71	43469	16904
72	44038	16288
73	44569	15659
74	45122	15040
75	45725	14439
76	46315	13834
77	46853	13214
78	47388	12597
79	47942	11985
80	48456	11366
81	48956	10746
82	49462	10130
83	49969	9517
84	50530	8917
85	51066	8313
86	51582	7707
87	52104	7105
88	52627	6504
89	53162	5906
90	53692	5310
91	54240	4716
92	54774	4122
93	55354	3533
94	55962	2945
95	56483	2353
96	57016	1763
97	57535	1174
98	58078	586
99	58630	0
